global_index,category,pck_hm,pck_rg,hits_hm,hits_rg,denom
188,both_fail,0.0,0.6000000238418579,0,3,5
189,both_fail,0.4000000059604645,0.4000000059604645,2,2,5
190,both_fail,0.0,0.0,0,0,5
191,both_fail,0.0,0.4000000059604645,0,2,5
192,rg_only,0.0,0.800000011920929,0,4,5
193,both_fail,0.20000000298023224,0.0,1,0,5
194,both_fail,0.20000000298023224,0.0,1,0,5
195,both_fail,0.0,0.20000000298023224,0,1,5
196,both_fail,0.0,0.0,0,0,5
197,both_fail,0.20000000298023224,0.0,1,0,5
198,both_fail,0.0,0.0,0,0,5
199,both_fail,0.20000000298023224,0.0,1,0,5
